KMeans Cluster,Mean Similarity,Cluster Label,Similarity Tier
39,0.3719226,"connectivity, network, device, issue, problem, connectivity issue",Low
39,0.27868488,"connectivity, network, device, issue, problem, connectivity issue",Low
6,0.36444357,"saas platform, saas, platform, issue, server, performance",Low
39,0.45393714,"connectivity, network, device, issue, problem, connectivity issue",High
43,0.3415495,"outage, service, service outage, issue, disruption, impact",Low
39,0.4139176,"connectivity, network, device, issue, problem, connectivity issue",Low
23,0.2177171,"integration, analytic, team, support, provide, investment",Low
39,0.3590957,"connectivity, network, device, issue, problem, connectivity issue",Low
39,0.3282602,"connectivity, network, device, issue, problem, connectivity issue",Low
39,0.29576102,"connectivity, network, device, issue, problem, connectivity issue",Low
12,0.30199593,"integration, integrate, documentation, step, saas, process",Low
24,0.532908,"login, server, login issue, user, login difficulty, issue",High
34,0.600691,"charge, billing, invoice, account, statement, subscription",High
23,0.16538934,"integration, analytic, team, support, provide, investment",Low
43,0.43852362,"outage, service, service outage, issue, disruption, impact",High
27,0.34499785,"investment, processing, analytic platform, platform, data, analytic",Low
6,0.409596,"saas platform, saas, platform, issue, server, performance",Low
39,0.48402414,"connectivity, network, device, issue, problem, connectivity issue",High
6,0.37168545,"saas platform, saas, platform, issue, server, performance",Low
36,0.36382806,"billing, discrepancy, payment, billing discrepancy, issue, account",Low
23,0.32779685,"integration, analytic, team, support, provide, investment",Low
6,0.27472502,"saas platform, saas, platform, issue, server, performance",Low
39,0.4272598,"connectivity, network, device, issue, problem, connectivity issue",High
39,0.34632617,"connectivity, network, device, issue, problem, connectivity issue",Low
23,0.29318693,"integration, analytic, team, support, provide, investment",Low
23,0.29818588,"integration, analytic, team, support, provide, investment",Low
31,0.3510972,"security, healthcare, compliance, security solution, datum, solution",Low
39,0.23098415,"connectivity, network, device, issue, problem, connectivity issue",Low
43,0.46184072,"outage, service, service outage, issue, disruption, impact",High
43,0.29895857,"outage, service, service outage, issue, disruption, impact",Low
39,0.24715446,"connectivity, network, device, issue, problem, connectivity issue",Low
39,0.31728613,"connectivity, network, device, issue, problem, connectivity issue",Low
23,0.2681135,"integration, analytic, team, support, provide, investment",Low
27,0.28716427,"investment, processing, analytic platform, platform, data, analytic",Low
23,0.29550695,"integration, analytic, team, support, provide, investment",Low
39,0.34004778,"connectivity, network, device, issue, problem, connectivity issue",Low
43,0.44654563,"outage, service, service outage, issue, disruption, impact",High
23,0.2257089,"integration, analytic, team, support, provide, investment",Low
25,0.5039626,"marketing, digital, social medium, social, medium, strategy",High
9,0.34110808,"investment, analysis, issue, discrepancy, data, datum",Low
39,0.27835843,"connectivity, network, device, issue, problem, connectivity issue",Low
39,0.29822922,"connectivity, network, device, issue, problem, connectivity issue",Low
37,0.34059143,"access, unauthorized, unauthorized access, security, access attempt, medical",Low
12,0.32308823,"integration, integrate, documentation, step, saas, process",Low
43,0.3603636,"outage, service, service outage, issue, disruption, impact",Low
23,0.25315312,"integration, analytic, team, support, provide, investment",Low
23,0.3040303,"integration, analytic, team, support, provide, investment",Low
43,0.36281058,"outage, service, service outage, issue, disruption, impact",Low
43,0.45885882,"outage, service, service outage, issue, disruption, impact",High
39,0.40256035,"connectivity, network, device, issue, problem, connectivity issue",Low
34,0.5709343,"charge, billing, invoice, account, statement, subscription",High
23,0.1519962,"integration, analytic, team, support, provide, investment",Low
5,0.36970416,"security, breach, security breach, incident, medical, hospital",Low
39,0.38764283,"connectivity, network, device, issue, problem, connectivity issue",Low
39,0.29194838,"connectivity, network, device, issue, problem, connectivity issue",Low
6,0.30766636,"saas platform, saas, platform, issue, server, performance",Low
23,0.22629035,"integration, analytic, team, support, provide, investment",Low
43,0.3625144,"outage, service, service outage, issue, disruption, impact",Low
23,0.3004219,"integration, analytic, team, support, provide, investment",Low
23,0.32614753,"integration, analytic, team, support, provide, investment",Low
23,0.27310264,"integration, analytic, team, support, provide, investment",Low
36,0.28247964,"billing, discrepancy, payment, billing discrepancy, issue, account",Low
23,0.2628342,"integration, analytic, team, support, provide, investment",Low
25,0.34766006,"marketing, digital, social medium, social, medium, strategy",Low
7,0.49390757,"billing, update billing, payment, billing information, update, request update",High
23,0.2220566,"integration, analytic, team, support, provide, investment",Low
23,0.21085726,"integration, analytic, team, support, provide, investment",Low
5,0.40326938,"security, breach, security breach, incident, medical, hospital",Low
43,0.44836184,"outage, service, service outage, issue, disruption, impact",High
23,0.18019283,"integration, analytic, team, support, provide, investment",Low
6,0.38441566,"saas platform, saas, platform, issue, server, performance",Low
31,0.39031616,"security, healthcare, compliance, security solution, datum, solution",Low
23,0.34632486,"integration, analytic, team, support, provide, investment",Low
39,0.43303505,"connectivity, network, device, issue, problem, connectivity issue",High
1,0.3442345,"request, integration, project, user, project management, management",Low
39,0.50416416,"connectivity, network, device, issue, problem, connectivity issue",High
23,0.22081625,"integration, analytic, team, support, provide, investment",Low
25,0.4141219,"marketing, digital, social medium, social, medium, strategy",Low
23,0.33801782,"integration, analytic, team, support, provide, investment",Low
23,0.21358834,"integration, analytic, team, support, provide, investment",Low
23,0.32516184,"integration, analytic, team, support, provide, investment",Low
22,0.21591412,"issue, software, update, problem, integration, resolve",Low
6,0.36344028,"saas platform, saas, platform, issue, server, performance",Low
23,0.28670472,"integration, analytic, team, support, provide, investment",Low
23,0.24925774,"integration, analytic, team, support, provide, investment",Low
5,0.29268986,"security, breach, security breach, incident, medical, hospital",Low
25,0.348799,"marketing, digital, social medium, social, medium, strategy",Low
23,0.2699171,"integration, analytic, team, support, provide, investment",Low
23,0.24546212,"integration, analytic, team, support, provide, investment",Low
39,0.24280326,"connectivity, network, device, issue, problem, connectivity issue",Low
23,0.18990059,"integration, analytic, team, support, provide, investment",Low
39,0.26964456,"connectivity, network, device, issue, problem, connectivity issue",Low
35,0.64482915,"quickbooks, quickbooks online, online, integration, integrate quickbooks, integrate",High
43,0.34744635,"outage, service, service outage, issue, disruption, impact",Low
23,0.15899493,"integration, analytic, team, support, provide, investment",Low
36,0.41599292,"billing, discrepancy, payment, billing discrepancy, issue, account",Low
43,0.28780553,"outage, service, service outage, issue, disruption, impact",Low
39,0.31418246,"connectivity, network, device, issue, problem, connectivity issue",Low
39,0.31925,"connectivity, network, device, issue, problem, connectivity issue",Low
39,0.401799,"connectivity, network, device, issue, problem, connectivity issue",Low
22,0.23628563,"issue, software, update, problem, integration, resolve",Low
39,0.42001724,"connectivity, network, device, issue, problem, connectivity issue",Low
39,0.34047878,"connectivity, network, device, issue, problem, connectivity issue",Low
23,0.33141425,"integration, analytic, team, support, provide, investment",Low
23,0.21250446,"integration, analytic, team, support, provide, investment",Low
23,0.28052112,"integration, analytic, team, support, provide, investment",Low
23,0.3589307,"integration, analytic, team, support, provide, investment",Low
36,0.5338743,"billing, discrepancy, payment, billing discrepancy, issue, account",High
23,0.31813756,"integration, analytic, team, support, provide, investment",Low
34,0.55827916,"charge, billing, invoice, account, statement, subscription",High
31,0.28415674,"security, healthcare, compliance, security solution, datum, solution",Low
39,0.49805406,"connectivity, network, device, issue, problem, connectivity issue",High
34,0.57302094,"charge, billing, invoice, account, statement, subscription",High
31,0.41334787,"security, healthcare, compliance, security solution, datum, solution",Low
23,0.25377318,"integration, analytic, team, support, provide, investment",Low
39,0.4391997,"connectivity, network, device, issue, problem, connectivity issue",High
43,0.38114995,"outage, service, service outage, issue, disruption, impact",Low
39,0.23922558,"connectivity, network, device, issue, problem, connectivity issue",Low
39,0.3962447,"connectivity, network, device, issue, problem, connectivity issue",Low
6,0.4509342,"saas platform, saas, platform, issue, server, performance",High
23,0.27627617,"integration, analytic, team, support, provide, investment",Low
24,0.5446428,"login, server, login issue, user, login difficulty, issue",High
23,0.35160306,"integration, analytic, team, support, provide, investment",Low
39,0.31376624,"connectivity, network, device, issue, problem, connectivity issue",Low
23,0.27567723,"integration, analytic, team, support, provide, investment",Low
34,0.53849405,"charge, billing, invoice, account, statement, subscription",High
23,0.20381258,"integration, analytic, team, support, provide, investment",Low
31,0.3843679,"security, healthcare, compliance, security solution, datum, solution",Low
39,0.2911561,"connectivity, network, device, issue, problem, connectivity issue",Low
39,0.4911613,"connectivity, network, device, issue, problem, connectivity issue",High
29,0.45111406,"billing, payment, plan, option, pricing, discount",High
39,0.36988166,"connectivity, network, device, issue, problem, connectivity issue",Low
2,0.33279797,"investment, analytic, data analytic, data, tool, investment strategy",Low
22,0.23471005,"issue, software, update, problem, integration, resolve",Low
23,0.28851306,"integration, analytic, team, support, provide, investment",Low
23,0.3153998,"integration, analytic, team, support, provide, investment",Low
23,0.33017495,"integration, analytic, team, support, provide, investment",Low
43,0.31670097,"outage, service, service outage, issue, disruption, impact",Low
39,0.20664656,"connectivity, network, device, issue, problem, connectivity issue",Low
39,0.2804577,"connectivity, network, device, issue, problem, connectivity issue",Low
22,0.20386848,"issue, software, update, problem, integration, resolve",Low
35,0.6295531,"quickbooks, quickbooks online, online, integration, integrate quickbooks, integrate",High
39,0.47129193,"connectivity, network, device, issue, problem, connectivity issue",High
39,0.4479448,"connectivity, network, device, issue, problem, connectivity issue",High
23,0.3261027,"integration, analytic, team, support, provide, investment",Low
39,0.42459992,"connectivity, network, device, issue, problem, connectivity issue",Low
5,0.30075148,"security, breach, security breach, incident, medical, hospital",Low
43,0.43665487,"outage, service, service outage, issue, disruption, impact",High
6,0.3658621,"saas platform, saas, platform, issue, server, performance",Low
14,0.25880444,"server, dashboard, issue, load, project dashboard, peak",Low
31,0.33656782,"security, healthcare, compliance, security solution, datum, solution",Low
16,0.26935333,"marketing, agency, marketing agency, issue, digital, campaign",Low
29,0.4440583,"billing, payment, plan, option, pricing, discount",High
6,0.33004344,"saas platform, saas, platform, issue, server, performance",Low
43,0.4380577,"outage, service, service outage, issue, disruption, impact",High
39,0.30148762,"connectivity, network, device, issue, problem, connectivity issue",Low
23,0.14081344,"integration, analytic, team, support, provide, investment",Low
31,0.39949793,"security, healthcare, compliance, security solution, datum, solution",Low
39,0.42261514,"connectivity, network, device, issue, problem, connectivity issue",Low
23,0.29992115,"integration, analytic, team, support, provide, investment",Low
12,0.30863702,"integration, integrate, documentation, step, saas, process",Low
43,0.3231491,"outage, service, service outage, issue, disruption, impact",Low
6,0.37146774,"saas platform, saas, platform, issue, server, performance",Low
23,0.32578415,"integration, analytic, team, support, provide, investment",Low
23,0.27404922,"integration, analytic, team, support, provide, investment",Low
39,0.3829268,"connectivity, network, device, issue, problem, connectivity issue",Low
39,0.40745157,"connectivity, network, device, issue, problem, connectivity issue",Low
22,0.2871401,"issue, software, update, problem, integration, resolve",Low
36,0.44012514,"billing, discrepancy, payment, billing discrepancy, issue, account",High
21,0.27560875,"access, medical, healthcare, security, issue, data access",Low
39,0.45081905,"connectivity, network, device, issue, problem, connectivity issue",High
39,0.20222884,"connectivity, network, device, issue, problem, connectivity issue",Low
5,0.36940384,"security, breach, security breach, incident, medical, hospital",Low
31,0.31652865,"security, healthcare, compliance, security solution, datum, solution",Low
23,0.2220816,"integration, analytic, team, support, provide, investment",Low
5,0.4064116,"security, breach, security breach, incident, medical, hospital",Low
6,0.41491038,"saas platform, saas, platform, issue, server, performance",Low
6,0.36779043,"saas platform, saas, platform, issue, server, performance",Low
5,0.3907165,"security, breach, security breach, incident, medical, hospital",Low
23,0.26807317,"integration, analytic, team, support, provide, investment",Low
7,0.59488624,"billing, update billing, payment, billing information, update, request update",High
23,0.30043516,"integration, analytic, team, support, provide, investment",Low
43,0.29443642,"outage, service, service outage, issue, disruption, impact",Low
6,0.30965963,"saas platform, saas, platform, issue, server, performance",Low
42,0.3196151,"synchronization, data synchronization, issue, problem, synchronization issue, resolve",Low
39,0.24877301,"connectivity, network, device, issue, problem, connectivity issue",Low
31,0.30734307,"security, healthcare, compliance, security solution, datum, solution",Low
39,0.4283924,"connectivity, network, device, issue, problem, connectivity issue",High
42,0.29456848,"synchronization, data synchronization, issue, problem, synchronization issue, resolve",Low
23,0.32553354,"integration, analytic, team, support, provide, investment",Low
43,0.3008704,"outage, service, service outage, issue, disruption, impact",Low
39,0.36172128,"connectivity, network, device, issue, problem, connectivity issue",Low
39,0.28198972,"connectivity, network, device, issue, problem, connectivity issue",Low
39,0.38738516,"connectivity, network, device, issue, problem, connectivity issue",Low
34,0.45240462,"charge, billing, invoice, account, statement, subscription",High
23,0.2724216,"integration, analytic, team, support, provide, investment",Low
43,0.42616764,"outage, service, service outage, issue, disruption, impact",High
23,0.32611665,"integration, analytic, team, support, provide, investment",Low
43,0.3881133,"outage, service, service outage, issue, disruption, impact",Low
23,0.3367615,"integration, analytic, team, support, provide, investment",Low
23,0.31757152,"integration, analytic, team, support, provide, investment",Low
6,0.3590934,"saas platform, saas, platform, issue, server, performance",Low
5,0.3746157,"security, breach, security breach, incident, medical, hospital",Low
43,0.28614002,"outage, service, service outage, issue, disruption, impact",Low
31,0.4135572,"security, healthcare, compliance, security solution, datum, solution",Low
43,0.22460653,"outage, service, service outage, issue, disruption, impact",Low
25,0.34438422,"marketing, digital, social medium, social, medium, strategy",Low
31,0.421217,"security, healthcare, compliance, security solution, datum, solution",Low
39,0.45036936,"connectivity, network, device, issue, problem, connectivity issue",High
23,0.31615016,"integration, analytic, team, support, provide, investment",Low
39,0.3657077,"connectivity, network, device, issue, problem, connectivity issue",Low
39,0.42246166,"connectivity, network, device, issue, problem, connectivity issue",Low
39,0.4647119,"connectivity, network, device, issue, problem, connectivity issue",High
39,0.29895148,"connectivity, network, device, issue, problem, connectivity issue",Low
23,0.33139145,"integration, analytic, team, support, provide, investment",Low
31,0.52437204,"security, healthcare, compliance, security solution, datum, solution",High
6,0.42507812,"saas platform, saas, platform, issue, server, performance",Low
23,0.237973,"integration, analytic, team, support, provide, investment",Low
23,0.24305025,"integration, analytic, team, support, provide, investment",Low
31,0.38136235,"security, healthcare, compliance, security solution, datum, solution",Low
