Index,Recorded Language,Predicted Language,Prediction Confidence,Subject,Any Disagreement,Potential Mismatch
66,EN,EN,0.9480543685401599,Several Critical Devices Experiencing Network Failures,False,False
67,EN,EN,0.9433012762264225,Problem Report,False,False
68,DE,DE,0.5984153727486092,Multiple Product Interruptions,False,False
69,DE,DE,0.9975585664158599,Performance Issue on SaaS Platform,False,False
70,EN,EN,0.9475420301208416,Device Compatibility Concern,False,False
71,DE,DE,0.9976896239665224,Anfrage zu Rechnungs- und Zahlungsinformationen,False,False
72,EN,EN,0.8026778749813976,Network Connectivity Problems,False,False
73,EN,EN,0.9214337736974598,Critical Support Needed for Cloud-Native SaaS System Disruption Affecting Business Functions,False,False
74,EN,EN,0.900458944440682,Product Assistance Request,False,False
75,EN,EN,0.9499629057905922,Occasional Disruptions Across Several Products Post-Update,False,False
76,DE,DE,0.997973701478811,Synchronisationsproblem,False,False
77,EN,EN,0.9503976752717771,Periodic System Response Failures,False,False
78,EN,EN,0.8592595055256558,Third-Party Device Integration Procedures,False,False
79,EN,EN,0.880961477010731,Critical Security Breach in Telehealth Platforms,False,False
80,EN,EN,0.8305903998726635,Instructions for Returning Products,False,False
81,EN,EN,0.8169424305251914,Inquiry About Product Integration Procedures,False,False
82,DE,EN,0.5529547027349171,Request for Enhancements to Big Data Infrastructure for Analytics Platforms,True,False
83,DE,DE,0.9938974592529438,Anfrage zu Investment-Strategie-Angeboten,False,False
84,EN,EN,0.866307828086234,Issue Notification,False,False
85,DE,DE,0.995882934818297,Anfrage zu Netzwerkausrüstungsdetails,False,False
86,DE,EN,0.546370369976556,Connectivity Issue with iOS Device,True,False
87,EN,EN,0.9936444995020947,Malfunction,False,False
88,EN,EN,0.9399430879149758,Invoice Inquiry,False,False
89,EN,EN,0.8562830491938674,Guidance on Secure EMR Integration,False,False
90,DE,DE,0.99875430301187,Bluetooth-Verbindungsprobleme,False,False
91,EN,EN,0.9747039982625186,Inquiry for In-Depth Product Integration Details,False,False
92,EN,EN,0.7638884215911933,Urgent Service Disruption Detected in EMR System,False,False
93,EN,EN,0.9612057749280546,Inquiry for Details of Recent Incident,False,False
94,EN,EN,0.645080057156746,Billing Instructions,False,False
95,DE,DE,0.9970463093833805,Rechnungserkundigung,False,False
96,DE,EN,0.801092040758057,Issues with RAID Controller Device Connectivity,True,False
97,EN,EN,0.9429492027410074,Inquiry About Procedures for Incorporating Agile SaaS Hardware Devices,False,False
98,DE,DE,0.9959987348059842,Benötigte Anleitung zur effektiven bereichsübergreifenden Kollaboration,False,False
99,EN,EN,0.8923428669380731,Issue Report,False,False
100,EN,EN,0.6937101988415231,Difficulty Connecting VR Controller,False,False
101,EN,EN,0.8947188583212433,System Infrastructure Enhancement,False,False
102,EN,EN,0.9447515067251787,Critical Service Disruption in Telehealth,False,False
103,DE,EN,0.8127953607122517,Clarification Needed,True,False
104,EN,EN,0.9285810686603739,Advice on Securing Telehealth Platforms,False,False
105,EN,EN,0.8671528653390294,Query Regarding Assistance with System Integration,False,False
106,EN,EN,0.7522660527144402,Peripheral Device Difficulties,False,False
107,DE,EN,0.5168012997787842,Performance Issue,True,False
108,EN,EN,0.9309662004055492,Immediate Help Needed: Major Data Lake Access Problem,False,False
109,DE,DE,0.9970467985131273,Klärungsbedarf,False,False
110,EN,EN,0.9457157523552752,Immediate Attention Required: Platform Downtime Disrupting Device Connectivity,False,False
111,EN,EN,0.8722542508219798,Inquiry About Company Offerings,False,False
112,EN,EN,0.5455658489334806,Marketing Summary,False,False
113,EN,EN,0.954534254138447,Inconsistency in Billing Charges,False,False
114,EN,EN,0.8690906923915873,Request for Documentation and Expert Support for Securely Integrating Valve Index VR Kit with Ubuntu,False,False
115,EN,EN,0.6062588686703331,Query Regarding Platform Features,False,False
116,DE,DE,0.9983099582950643,Dringende Unterstützung bei Problem mit der Cloud-Plattform des Agile Teams benötigt,False,False
117,EN,EN,0.7045148771455246,Invoice Discrepancy Concern,False,False
118,EN,EN,0.7422885005258799,Urgent: Extensive Service Outage Affecting SaaS Platform,False,False
119,EN,EN,0.9069388107525004,Billing Discrepancy Across Multiple Items,False,False
120,EN,EN,0.573002670055169,Revision of Maintenance and Outage Notification Protocols,False,False
121,EN,EN,0.9396733667067132,Critical Alert: Connectivity Disruptions in Devices,False,False
122,EN,EN,0.8914036016127656,Severe Service Disruption Detected in EMR Platform,False,False
123,EN,EN,0.9723726553633228,Service Performance Concern,False,False
124,DE,DE,0.9961345866711563,"Vorfall bei Geräteanbindung auf SaaS-Plattform, Kommunikationsstörungen",False,False
125,DE,DE,0.9971640619977503,Integration über mehrere Geräte hinweg,False,False
126,EN,EN,0.9397558796627112,Request to Return Electronic Hardware Items,False,False
127,DE,DE,0.9971487428997875,Probleme mit der WLAN-Verbindung,False,False
128,EN,EN,0.7547460239598512,Inquiry About Marketing Agency Services,False,False
129,DE,DE,0.9630346268766524,Zahlreiche Geräte im Büro laufen ordnungsgemäß,False,False
130,EN,EN,0.8634517493200651,Request for Clarification on Product Issue Impact,False,False
131,DE,DE,0.9983650951093812,Mehrere Probleme mit Geräten,False,False
132,EN,EN,0.9414352439558419,Immediate Attention Needed: Multiple Equipment Experiencing Connectivity Performance Problems,False,False
133,EN,EN,0.9069008949371443,Query About Service Downtime Maintenance Progress,False,False
134,EN,EN,0.8211200677090623,Alert: Disruption in Microservices Deployment,False,False
135,EN,EN,0.8216226212603109,Problem with Printer Not Printing Files,False,False
136,DE,DE,0.9977663754796838,Dringende Unterstützung wegen Abrechnungsdifferenz benötigt,False,False
137,EN,EN,0.8740658550521834,Mac Mini System Instability,False,False
138,EN,EN,0.9538512332860423,Critical Alert: Fault in Automated Portfolio Rebalancing System,False,False
139,EN,EN,0.9599251196627734,Inquiry Regarding Agile Team Configuration Details,False,False
140,EN,EN,0.962499926381515,Query About Security Standards and Practices,False,False
141,EN,EN,0.8895862659373076,Synchronization Problem,False,False
142,EN,EN,0.7964927491891719,Immediate Attention Needed: Cloud SaaS Service Performance Concerns,False,False
143,EN,EN,0.8801034853736988,Immediate Attention Needed: Multiple Units Experiencing Connectivity Performance Problems,False,False
144,DE,EN,0.8748458434313612,Multiple Device Connectivity Issues Following Recent OS Update,True,False
145,DE,DE,0.9978526932196544,Anfrage zur IT-Support-Integration,False,False
146,EN,EN,0.9054687268894939,Multiple Product Disruptions Impacting Services,False,False
147,DE,DE,0.9971929970142135,Incident Affecting Multiple Devices,False,False
148,DE,DE,0.9977382784613662,Anfrage zu anstehenden Wartungsarbeiten und geplanten Serviceunterbrechungen,False,False
149,EN,EN,0.7861800680862517,Image Distortion on Projector Across Multiple Devices,False,False
150,DE,DE,0.9982232912502235,Incident Report,False,False
151,EN,EN,0.7415099418415559,Display Connectivity Problems with Monitor,False,False
152,EN,EN,0.890319198440208,Improving Marketing Workflow Efficiency,False,False
153,EN,EN,0.9431492449338736,Urgent: Cannot Submit Performance Marketing Analytics Report Due to Data Lake Issue,False,False
154,EN,EN,0.9330133112521655,Urgent: Technical Issue Disrupting Campaign Performance Metrics Analysis,False,False
155,DE,DE,0.9933788126834284,Audio-Ausgabefehler,False,False
156,EN,EN,0.9389502115845723,Urgent Login Problem with QuickBooks Account,False,False
157,EN,EN,0.9018631588386131,Billing Inconsistency on Multi-Product Invoice,False,False
158,EN,EN,0.7610377887302927,Request for Company Overview Details,False,False
159,EN,EN,0.7070862405488143,Issue with Automated Rebalancing Systems,False,False
160,DE,EN,0.9099723015190081,Incident Concerning Device Impact,True,True
161,DE,DE,0.9903258813999001,Connectivity Issue,False,False
162,DE,DE,0.995668156502896,Eilige Unterstützung benötigt: Abrechnungsprobleme bei mehreren Abonnementverlängerungen,False,False
163,DE,DE,0.9987652314483795,Anfrage zur technischen Dokumentation der SaaS-Architektur,False,False
164,DE,DE,0.9978736928594378,Anfrage nach ausführlichen Richtlinien für den Produktintegrationsablauf,False,False
165,EN,EN,0.7738185655155788,Invoicing Inquiry,False,False
166,DE,DE,0.9907205526430662,Herausforderungen bei der Abstimmung im Agile Team,False,False
167,DE,DE,0.9979900237603265,Fortbestehende Verbindungsprobleme mit dem Gerät,False,False
168,DE,DE,0.6310618688955019,Invoice Issue,False,False
169,EN,EN,0.9092226102406774,Inquiry for In-Depth Details on Agency Offerings,False,False
170,DE,DE,0.9974231787437037,Anfrage zum Funktionsvergleich,False,False
171,EN,EN,0.9364977092993895,Query About Payment Details on Invoice,False,False
172,EN,EN,0.9192218568883304,Immediate Help Needed for HTC Vive Cosmos Headset Connection Problem,False,False
173,EN,EN,0.9684802899415795,Security Management Summary,False,False
174,EN,EN,0.965438937830753,Optimizing Marketing Workflow Efficiency,False,False
175,DE,DE,0.9960288201624146,Dringliche Mitteilung: Umfangreiche Serviceunterbrechung bei SaaS-Plattform,False,False
176,EN,EN,0.9011813001908897,Client Reporting Dashboard Refresh Issue,False,False
177,EN,EN,0.8523821159426481,Connectivity Problems with USB-C Ethernet Adapter After Recent Network Update,False,False
178,DE,DE,0.9970063118667956,Anfrage zu Produktintegrationsrichtlinien und Sicherheitsbest Practices für den Einsatz im Gesundheitswesen,False,False
179,EN,EN,0.9334031496989994,Peripheral Device Problems,False,False
180,EN,EN,0.9198561737871381,Question About Service Functionality,False,False
181,EN,EN,0.9868217855465822,Connection Setup,False,False
182,DE,EN,0.8987599560331813,System outages affecting EMR Telemedicine services,True,False
183,EN,EN,0.8015478702477258,Compatibility Issue,False,False
184,EN,EN,0.8369172024908218,Immediate Attention Needed: Problems with Evernote Disrupting Key Tasks,False,False
185,EN,EN,0.748420329434357,Improving Agile Microservices Processes,False,False
186,DE,DE,0.9960659872671314,Konnektivitätsprobleme,False,False
187,DE,DE,0.9992042650040969,Mehrere Geräte-Softwareausfälle beeinträchtigen den Handel,False,False
188,EN,EN,0.8336489731121568,Integration Documentation,False,False
189,EN,EN,0.9653228233979602,Inquiry for Guidance on Smart Water Leak Detector Sensor Integration,False,False
190,DE,DE,0.9856479617468841,Request for Security Documentation,False,False
191,DE,DE,0.9882779217442401,Enhancement and Streamlining,False,False
192,EN,DE,0.6864725447888669,Urgent System Failures,True,False
193,EN,EN,0.8810780173231278,Request for Technical Documentation,False,False
194,EN,EN,0.9411102990984385,Service Disruption on Cloud-Based SaaS Platform,False,False
195,DE,DE,0.9977009698315564,Ausfall der Cloud-basierten Plattform,False,False
196,DE,EN,0.7988837270223108,Security Incident Alert,True,False
197,EN,EN,0.8792484698037699,Immediate Attention: System Failures and Connectivity Problems with Medical Equipment,False,False
198,DE,DE,0.9971348857171654,Dringend: Persistierende Verbindungsprobleme bei Switches,False,False
199,EN,EN,0.9806192079966183,Performance Concerns with Cloud SaaS Platform,False,False
200,EN,EN,0.9611063551429302,Immediate Attention Needed: IoT Network Security Concerns,False,False
201,EN,EN,0.9526596697837659,Question About Integration Procedures and Best Practices for Onboarding New Hardware and Software on SaaS Platform,False,False
202,EN,EN,0.9149805280433471,Security Alert: EMR/PACS Integration Compromised,False,False
203,DE,DE,0.9954406035397348,Koordinationsherausforderungen zwischen Abteilungen,False,False
204,DE,DE,0.9988919659686812,Problem mit der neuesten Bestellung,False,False
205,DE,DE,0.9944043018879165,Optimierung der Flexibilität in der Teamorganisation,False,False
206,EN,EN,0.8733674729350369,Critical Service Disruption Impacting Multiple Offerings,False,False
207,DE,DE,0.9966452083785153,Support Request for IT-Integration,False,False
208,EN,EN,0.7943012739316131,Request for Clarification on Product Issue Consequences,False,False
209,DE,DE,0.9974410878002368,Analytics System Outage,False,False
210,EN,EN,0.9751455831269056,Immediate Attention Needed: IoT Device Connectivity and Security Concerns,False,False
211,EN,EN,0.9643036116697759,Immediate Assistance Needed: Technical Problem with Cloud SaaS Service,False,False
212,EN,EN,0.9012368934270488,Problem,False,False
213,EN,EN,0.8930828958649305,Overview of Security Solutions,False,False
214,EN,EN,0.6719360820669109,Inquiry About Marketing Agency Information,False,False
215,EN,EN,0.9619952767969864,Service Disruption,False,False
216,DE,EN,0.5380458070169623,Notification of SaaS Platform Outage,True,False
217,EN,EN,0.9220660137502906,Connectivity Difficulties Across Multiple Devices,False,False
218,DE,EN,0.7627336011150074,Connectivity issues with USB-C Ethernet adapter,True,False
219,DE,DE,0.9857786009785124,HyperX Cloud II Wireless verbindet sich ständig unerwartet ab,False,False
220,EN,EN,0.9021660441446163,Touchscreen Display Detecting Inputs,False,False
221,EN,EN,0.9189735610046991,Security Regulatory Adherence,False,False
222,EN,EN,0.9614691979344384,Inquiry for Clarification,False,False
223,DE,DE,0.9944661801448903,Incident Caused by Discrepancies in Account Management Center,False,False
224,EN,EN,0.9626813900213103,Immediate Attention Needed: Centralized Account Management System Outage,False,False
225,EN,EN,0.9363900333132164,Question,False,False
226,DE,DE,0.9982879489748859,Anfrage bezüglich Einhaltung von Konformitätsnachweisen,False,False
227,DE,EN,0.9047328916164357,Excel's Memory Spike Causing Sluggishness,True,True
228,EN,EN,0.7599477498033609,Configuration Enhancement Requests,False,False
229,DE,DE,0.9961319196112056,Verbindungsproblem mit VR-Controller,False,False
230,EN,EN,0.7601827117668342,Inefficiencies in Incident Management,False,False
231,EN,EN,0.7905824136131667,Unified Management Integration,False,False
232,EN,EN,0.8628725586382362,Query About Compatibility of Integration,False,False
233,DE,DE,0.9971388149832876,Technisches Problem mit Alarmmeldung,False,False
234,EN,EN,0.9374002611016713,Inquiry About ESG Analytics System,False,False
235,EN,EN,0.9060490851908232,Smart Home Center Device Synchronization Issue,False,False
236,DE,EN,0.8134624710164041,Need for clarification on the billing and payment procedure,True,False
237,EN,EN,0.6537369870153737,Invoicing Instructions,False,False
238,EN,EN,0.987190684199388,Repeated Connection Interruptions During Chromebook Login,False,False
239,DE,DE,0.9927788521148678,Update der Systemkonfiguration,False,False
240,EN,EN,0.9562813697889425,Revise Organizational Summary,False,False
241,DE,DE,0.9966562899193637,Leitfaden,False,False
242,DE,DE,0.9972645908848832,Revision of Return and Exchange Workflows,False,False
243,EN,EN,0.8317393062197724,Camera Connection Problems,False,False
244,EN,EN,0.9744736321798577,Problem with Account Management Center Data Syncing,False,False
245,EN,EN,0.7738984975468357,Problem with Return and Swap,False,False
246,EN,EN,0.8378669717232625,Critical Security Breach Impacting EMR Integration Platform,False,False
247,EN,EN,0.9068466493142411,Product Functionality Disruption,False,False
248,DE,DE,0.9961417804556109,Video crashes unexpectedly,False,False
249,EN,EN,0.9800525668610531,Assistance Required for Chromebook KVM Setup,False,False
250,EN,EN,0.9089879009161868,Inquiry Regarding Enhancements to Technical Infrastructure for Marketing,False,False
251,EN,EN,0.9675510369833876,Connectivity Problem with Network Equipment,False,False
252,EN,EN,0.9885450723155393,Urgent: Several Hardware and Software Failures,False,False
253,EN,EN,0.7997107835760587,Sales Question,False,False
254,EN,EN,0.9502096812061211,Billing Discrepancy Concern,False,False
255,DE,EN,0.7000960772093048,Issue with Billing and Payment Processing,True,False
256,DE,EN,0.9156504037497849,Issue with Automated Rebalancing Engines,True,True
257,EN,EN,0.7319733091684765,Return Authorization Request,False,False
258,DE,EN,0.8580619957256088,Request for Integration Management,True,False
259,DE,DE,0.9970030378608508,Marketing Overview,False,False
260,EN,DE,0.5683763271269608,Questions Regarding Promotional Solutions,True,False
261,DE,DE,0.9920281847987724,Inquiry about Corporate Solutions,False,False
262,DE,DE,0.9976025232618179,Eilige Angelegenheit,False,False
263,EN,EN,0.9488586870473019,Critical Support Needed for Cloud-Based SaaS System Disruption Affecting Business Functions,False,False
264,DE,DE,0.9987384511449586,Dringend: Technische Störung beeinträchtigt Kampagnenleistungsdaten und Analyseberichte,False,False
265,EN,EN,0.8638334803494204,Financial Planning,False,False
266,EN,EN,0.9611756703381646,Notification of Several Service Interruptions,False,False
267,EN,EN,0.939959479172718,Regulatory Adherence,False,False
268,DE,DE,0.9948073563507103,Dringender Support erforderlich wegen Abrechnungsdifferenz,False,False
269,EN,EN,0.9051673771254091,Immediate Assistance Required for SaaS Platform Issue,False,False
270,EN,EN,0.9256980010259266,Immediate Attention Needed: Peripheral Software Error Disrupting Workflow,False,False
271,EN,EN,0.9183119757398478,Inquire About Advanced Capabilities Support for SaaS Solution,False,False
272,EN,EN,0.9388885655602026,Inquiry about Product Integration Procedures and Security Protocols for Healthcare Deployment,False,False
273,EN,EN,0.8626468338759891,Integration Query,False,False
274,EN,EN,0.9532837311349744,Immediate Attention Needed: Multiple Device Application Failures Disrupting Usage,False,False
275,EN,EN,0.923022418202148,Request for Update on Security Operations Compliance Summary,False,False
276,DE,DE,0.9958014486364389,"Vorfall bei Geräteanbindung an SaaS-Plattform, Kommunikationsstörung",False,False
277,EN,EN,0.6792722877446332,Recent OS Update Causes Multiple Device Connectivity Issues,False,False
278,DE,EN,0.7945617280777966,Guidelines for Product Returns,True,False
279,EN,EN,0.9872850028700173,Immediate Attention Needed: Network Switch Malfunction,False,False
280,EN,EN,0.9823201419084568,Widespread System Failures Disrupting EMR Telehealth Services,False,False
281,EN,EN,0.9424623388332073,Problems with Product Integration and Connection,False,False
282,DE,DE,0.996482473351522,Delivery Issues with Outlook Email,False,False
283,EN,EN,0.9126798817806488,Immediate Help Needed for Account Management Portal,False,False
284,EN,EN,0.8913219915041659,Immediate Attention Needed: Microservice Outages Disrupting SaaS System,False,False
285,DE,DE,0.9989457052356618,Anliegen,False,False
286,DE,DE,0.9992147969945467,Issue with Invoice Payment Processing,False,False
287,EN,EN,0.766353944917925,Question Regarding Account Administration,False,False
288,DE,EN,0.7901824096722825,Request for Billing and Payment Details,True,False
289,EN,EN,0.978834178869907,Inquiry for Product Information,False,False
290,DE,DE,0.9945845387699757,Incident with Cloud-Native SaaS Service,False,False
291,EN,EN,0.876370325263931,Inquiry for Incident Explanation,False,False
292,EN,EN,0.9695998383277558,Critical Support Request for Pre-Sales Query,False,False
293,DE,DE,0.9953627168022049,Probleme bei der Abrechnung und Zahlungsabwicklung,False,False
294,EN,EN,0.9418165473548181,Issue Affecting Several Devices,False,False
295,DE,DE,0.9969775324198143,Anfrage nach ausführlichen Details zur Produktschnittstelle,False,False
296,EN,EN,0.9006685898153974,Excel Performance Lag and Memory Surge,False,False
297,EN,EN,0.9555403211552461,Immediate Attention Required: Multiple Marketing Platforms Encountering Downtime,False,False
298,EN,EN,0.8900245252625449,Immediate Help Needed for KVM Switch Connectivity Issue,False,False
299,DE,DE,0.9978737761327526,"Fehler bei der Abrechnung, betrifft Zahlungen",False,False
300,EN,EN,0.7848163156346073,Sales Query,False,False
301,EN,EN,0.8985411910546114,Urgent Discrepancy in Billing: Invoice Reconciliation Services,False,False
302,EN,EN,0.9045543150271317,Request for Help with Robot Vacuum Scheduling,False,False
303,EN,EN,0.9611648301532992,Urgent Query About Detected Billing Discrepancy,False,False
304,EN,EN,0.9066179332833186,Inquiry Regarding Network Hardware Details,False,False
305,DE,DE,0.9967920548097416,Problem with Synchronization in Account Management Hub,False,False
306,EN,EN,0.916368862881619,Urgent Issue Affecting Multiple Systems,False,False
307,DE,DE,0.9869404089697192,Fehler bei Geräteintegration beeinträchtigt Marketingprozess,False,False
308,EN,EN,0.7995006303136112,Device Software Compatibility Concerns,False,False
309,DE,DE,0.99809423713468,Discrepancy in Billing for Multiple Products Invoice,False,False
310,DE,DE,0.9894352882281287,Drittanbieter-Software Integration Praktiken,False,False
311,EN,EN,0.779033250601289,Issue Affecting Cloud Software Service,False,False
312,EN,EN,0.9868204352378717,Urgent Security Breach Alert,False,False
313,DE,DE,0.9964617886310021,Anfrage nach detaillierten Angaben zum Service-Portfolio,False,False
314,DE,EN,0.8974800929042261,Billing and Payment Procedures,True,False
315,DE,DE,0.9963253262513182,Inquiry Regarding Promotional Service Offerings,False,False
316,EN,EN,0.926381772671429,Trouble Logging into QuickBooks Online,False,False
317,EN,EN,0.9108159893412261,Invoicing Concerns,False,False
318,DE,EN,0.8671182479940863,Request for Enhanced Support Capabilities on SaaS Platform,True,False
319,EN,EN,0.8566144524677988,Device Failures,False,False
320,EN,EN,0.9634119423253844,Several Equipment Malfunctions Disrupting Operations,False,False
321,DE,DE,0.9975180250891281,Account Issue,False,False
322,EN,EN,0.9158316078950393,Ongoing Problem with Evernote Synchronization,False,False
323,EN,EN,0.7797710734621447,Investigation of Sporadic Service Interruptions,False,False
324,EN,EN,0.9704353376833587,Urgent Security Breach Impacting Healthcare System Integrations,False,False
325,EN,EN,0.8236732818212091,Incorporating Python with Excel,False,False
326,EN,EN,0.9606606172948332,Network Connectivity Concerns,False,False
327,DE,DE,0.9965315924759025,Cloud-Downfall,False,False
328,DE,DE,0.9913446225687929,Compliance mit Vorschriften,False,False
329,EN,EN,0.9339140619193843,Optane Module Malfunction,False,False
330,EN,EN,0.8024329844421858,Network Connectivity Difficulties Impacting Medical Equipment,False,False
331,DE,DE,0.9963923129990128,Compliance Enforcement,False,False
332,EN,EN,0.7977841907216976,Performance Concerns with Cloud-Native SaaS Service,False,False
333,EN,EN,0.9065945034369919,Service Disruption Notice,False,False
334,EN,EN,0.896298417265884,Information About Agile Teams,False,False
335,DE,EN,0.7692500698446972,Incident Due to Misalignment in Account Management Hub,True,False
336,DE,DE,0.9921919869906461,Outlook Synchronization Issue,False,False
337,DE,DE,0.6291622290281609,Hardware Troubles,False,False
338,EN,EN,0.9754575102459644,Printing Ink Malfunction,False,False
339,EN,EN,0.7729027652824464,Performance Concern with Cloud-Native SaaS Service,False,False
340,EN,EN,0.8948861212750865,Critical: Cloud Infrastructure Downtime Impacting SaaS Offerings,False,False
341,DE,DE,0.9976663893156453,Anfrage zu Produktkompatibilitätsinformationen,False,False
342,EN,EN,0.9457229460292488,Intermittent Malfunctions Across Several Devices,False,False
343,DE,DE,0.9961466818787971,Soforthilfe benötigt: Abrechnungsprobleme bei mehreren Abonnementverlängerungen,False,False
344,EN,EN,0.8182971184228923,Help Needed for Touchscreen Display Problems,False,False
345,EN,EN,0.6292930579214753,Critical: Agile Team Event Affecting SaaS Service Efficiency,False,False
346,EN,EN,0.8662611924847279,Connectivity Problems Across Multiple Devices,False,False
347,EN,EN,0.86938976751814,Immediate Attention Needed: Service Interruption in Live Environment,False,False
348,EN,EN,0.7846387118932276,Reported Device Connectivity Difficulties,False,False
349,EN,EN,0.67655205540579,Problems with Refunds and Swaps,False,False
350,EN,EN,0.8639184759780822,Immediate Help Needed for Wi-Fi Mesh Network Connectivity Issues,False,False
351,EN,EN,0.5660801428268555,Immediate Help Needed with Wi-Fi Mesh Connectivity Issues,False,False
352,EN,EN,0.7545479252630476,Google Keep Synchronization Problem,False,False
353,EN,EN,0.8926454592850693,Documentation Request,False,False
354,DE,EN,0.6859150697442108,Connectivity Issue with Multiple Devices,True,False
